source_id,phot_g_mean_mag,phot_rp_mean_mag,phot_bp_mean_mag,parallax,original_ext_source_id,j_m,ks_m
4.6579619545896E+018,15.663628,14.328463,17.242258,-0.077625434512929,05243168-6949452,12.268,11.061
4.65796261180715E+018,16.243626,15.082643,17.250029,0.008145789975612,05261757-6955313,13.561,12.522
4.65796302412377E+018,15.692034,14.396186,17.283636,-0.068610187077098,05264813-6953097,12.447,11.22
4.65796305848345E+018,16.554466,15.371944,17.486616,-0.067195996873072,05265131-6952196,13.78,12.7
4.65796319153864E+018,11.285844,10.106486,12.600457,-0.068933119814728,05262353-6952257,8.395,7.194
4.65796326025825E+018,14.908472,13.723342,16.195206,-0.012283853780993,05264417-6951571,11.79,10.245
4.65796336333859E+018,14.782982,13.48745,16.459246,-0.057408950876312,05261173-6955237,11.308,9.517
4.65796429116943E+018,15.384668,14.098179,16.994034,-0.019510661973542,05254035-6949252,12.013,10.142
4.65796498262992E+018,15.318282,14.08478,16.714048,-0.063409315412295,05263595-6948290,12.334,11.117
4.65796518878855E+018,15.632405,14.40359,16.917168,0.019902339251944,05270794-6947205,12.37,10.664
4.65796552810373E+018,15.72839,14.378805,17.148829,-0.099610375365552,05263197-6944567,12.395,11.161
4.65796570418434E+018,15.761713,14.480748,17.316128,-0.085718549834064,05262483-6948232,12.601,11.376
4.65796584162308E+018,15.749581,14.406331,17.139687,0.000581716808725,05255362-6947577,12.41,11.22
4.65796587159987E+018,15.72144,14.385573,17.22633,0.043790200641075,05255749-6947549,12.447,11.214
4.65796597471466E+018,15.919489,14.825788,16.85346,-0.048253321897814,05255955-6946498,13.358,12.277
4.65796646005203E+018,14.532734,13.109024,16.824501,0.043458874111624,05254511-6944536,10.477,9.237
4.65796646005207E+018,16.338356,14.778933,17.43067,-0.017172886089435,05254994-6944356,13.289,12.017
4.65796656317748E+018,15.357171,13.96202,16.593357,-0.061493582997494,05260080-6943115,12.233,10.512
4.65796742217251E+018,15.928688,14.565968,17.231491,-0.132004975531752,05252253-6947343,12.576,11.298
4.65796755522705E+018,15.357652,14.144875,16.677113,-0.052811817287639,05245830-6948129,11.992,10.804
4.65796800628775E+018,15.965989,14.83256,17.046589,-0.130576958756026,05243025-6947006,13.351,12.214
4.65796804064748E+018,15.600059,14.391989,16.901598,-0.053745609990915,05242072-6948290,12.59,11.401
4.65796837986097E+018,15.404091,14.195862,16.729305,-0.056132661709548,05243489-6945578,12.408,11.229
4.65796841434358E+018,15.567516,14.3412285,16.795425,-0.081056733824187,05242897-6945126,12.608,11.464
4.65796889964245E+018,15.238592,14.069877,16.455496,-0.048339926534297,05253924-6946498,12.387,11.244
4.65796923885462E+018,14.736539,13.491222,16.21386,0.001657013514002,05245623-6943366,11.618,10.425
4.65796954809234E+018,14.993088,13.444575,17.413551,-0.118747995201466,05253892-6942273,11.036,9.827
4.65796954809234E+018,14.4283695,13.231009,15.772746,-0.024246344457731,05253720-6942493,11.069,9.403
4.65796978873513E+018,15.1586275,14.014188,16.335873,-0.05110690850033,05250232-6941232,12.163,10.739
4.66128389281544E+018,15.708563,14.50833,17.131058,-0.095606640011152,05043902-6842493,12.661,11.491
4.66128451129069E+018,15.550516,14.399729,16.749163,0.01146844106409,05044394-6839163,12.856,11.231
4.66128495796722E+018,15.875878,14.624853,17.555758,-0.206417198455831,05042758-6835487,12.704,10.932
4.66128540027758E+018,14.663726,13.505767,16.051296,-0.03748119860296,05051644-6836554,11.777,10.594
4.66128543900424E+018,15.664027,14.323215,17.641668,0.007702419490861,05052084-6836217,12.28,11.022
4.66128595003361E+018,14.950494,13.829074,16.215816,-0.068114625026844,05053133-6834194,12.165,10.73
4.66128653851603E+018,16.002357,14.642394,18.054493,-0.100099871718819,05044774-6833409,12.478,11.2
4.66128664159501E+018,15.638988,14.309263,17.71106,-0.084551356596813,05050371-6834043,12.155,10.904
4.66128715699101E+018,15.93356,14.669991,17.51372,-0.127896581904749,05043567-6830079,12.731,11.506
4.66128749627712E+018,15.568098,14.321886,17.120922,-0.070100070270771,05065653-6838086,12.495,11.264
4.66128759930079E+018,15.639184,14.334055,17.407475,-0.07521846862818,05065522-6837387,12.135,10.143
4.66128770674752E+018,15.80067,14.61798,17.170582,-0.030341558870052,05064616-6836090,12.926,11.708
4.66128845835418E+018,15.624289,14.421986,16.960537,-0.201040128171273,05063302-6834419,12.659,11.431
4.66128853138114E+018,15.525319,14.272718,17.167097,-0.038567099427169,05062424-6834443,12.31,11.108
4.66128887497855E+018,15.237198,13.959652,16.820206,-0.062551837092036,05063953-6833278,12.01,10.741
4.66128942473506E+018,15.384163,14.183357,16.859896,-0.0465924049992,05072275-6833481,12.027,10.25
4.66128990577127E+018,15.803619,14.5455265,17.369226,-0.045604128954616,05065766-6829476,12.635,11.349
4.66128993582374E+018,15.860461,14.474969,17.20798,-0.153190171756035,05073181-6831244,12.678,11.426
4.66129004321028E+018,15.681464,14.283842,17.917952,-0.079244760784289,05071842-6830049,12.081,10.839
4.66129011192981E+018,15.534947,14.391841,16.772343,-0.010783795108556,05074054-6829461,12.84,11.685
4.66129031808815E+018,15.983352,14.766447,17.420637,-0.01844806677737,05070609-6829225,13.017,11.787
4.66129045552709E+018,15.6666,14.424606,17.00696,-0.045143482216861,05070877-6827598,12.7,11.555
4.66129131452047E+018,15.547926,14.411521,16.764765,0.009243248827005,05063360-6827188,12.44,10.951
4.66129155503859E+018,15.824723,14.62726,17.276007,-0.0603742680783,05062431-6824343,12.845,11.587
4.66129282634943E+018,15.538908,14.408789,16.5501,-0.000757299456964,05051555-6830067,12.489,11.227
